timestamp,ambient_air_temperature,cabin_temperature,cabin_humidity_pct,hvac_blower_speed,ac_compressor_load_pct,lighting_status_headlamp_brake_lamp,wiper_motor_status,door_open_per_closed_status,window_open_pct,sunroof_position_pct,seat_occupancy_sensors,seat_belt_status,airbag_readiness,fuel_level_pct,distance_since_codes_cleared,distance_with_mil_lit,odometer_reading,trip_distance,cost_per_km_trip,cost_per_km_instant,average_trip_speed_stoppedmoving,barometer_android_device_mb,interior_light_sensor_lux,steering_wheel_controls,cruise_control_set_speed,key_fob_battery_level,immobilizer_status,android_device_battery,gps_coordinates_lat_per_long,horizontal_dilution_of_precision
2024-07-05T12:52:10-05:30,,,,,,,,,,,,,,,,,,584.6600342,,,,,,,,,,91.0,,
2024-07-05T12:52:14-05:30,,,,,,,,,,,,,,,5692,,,584.6600342,,,,,,,,,,91.0,,3.790092468
2024-07-05T12:52:25-05:30,,,,,,,,,,,,,,,5692,,,584.6761475,,,,,,,,,,91.0,,3.790092468
2024-07-05T12:52:35-05:30,,,,,,,,,,,,,,,5692,,,584.7000732,,,,,,,,,,91.0,,3.790092468
2024-07-05T12:52:39-05:30,,,,,,,,,,,,,,,5692,,,584.7000732,,,,,,,,,,91.0,,3.790092468
2024-07-05T12:52:43-05:30,,,,,,,,,,,,,,,5692,,,584.7021484,,,,,,,,,,91.0,,3.790092468
2024-07-05T12:52:47-05:30,,,,,,,,,,,,,,,5692,,,584.7059326,,,,,,,,,,91.0,,3.790092468
2024-07-05T12:52:51-05:30,,,,,,,,,,,,,,,5692,,,584.7161255,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:52:55-05:30,,,,,,,,,,,,,,,5692,,,584.732605,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:52:59-05:30,,,,,,,,,,,,,,,5692,,,584.744751,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:03-05:30,,,,,,,,,,,,,,,5692,,,584.756958,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:07-05:30,,,,,,,,,,,,,,,5692,,,584.7706299,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:11-05:30,,,,,,,,,,,,,,,5692,,,584.7736816,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:15-05:30,,,,,,,,,,,,,,,5692,,,584.7928467,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:19-05:30,,,,,,,,,,,,,,,5692,,,584.7969971,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:23-05:30,,,,,,,,,,,,,,,5692,,,584.819397,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:26-05:30,,,,,,,,,,,,,,,5692,,,584.8283691,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:30-05:30,,,,,,,,,,,,,,,5692,,,584.8459473,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:34-05:30,,,,,,,,,,,,,,,5692,,,584.8591919,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:38-05:30,,,,,,,,,,,,,,,5692,,,584.8696289,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:42-05:30,,,,,,,,,,,,,,,5692,,,584.8818359,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:46-05:30,,,,,,,,,,,,,,,5692,,,584.8922119,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:50-05:30,,,,,,,,,,,,,,,5692,,,584.8990479,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:54-05:30,,,,,,,,,,,,,,,5692,,,584.9170532,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:53:58-05:30,,,,,,,,,,,,,,,5692,,,584.930603,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:54:02-05:30,,,,,,,,,,,,,,,5692,,,584.9561768,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:54:06-05:30,,,,,,,,,,,,,,,5692,,,584.9765625,,,,,,,,,,91.0,,10.30737305
2024-07-05T12:54:10-05:30,,,,,,,,,,,,,,,5692,,,584.9779053,,,,,,,,,,91.0,,10.3008585
2024-07-05T12:54:14-05:30,,,,,,,,,,,,,,,5692,,,585.0020142,,,,,,,,,,91.0,,9.935046196
2024-07-05T12:54:18-05:30,,,,,,,,,,,,,,,5693,,,585.0169678,,,,,,,,,,91.0,,9.935046196
